"ph","Hardness","Solids","Chloramines","Sulfate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
6.5144153,198.76735,21218.703,8.670937,323.59634,413.29044,14.9,79.84784,5.2008853,0.0
3.445062,207.92625,33424.77,8.782147,384.00702,441.7859,13.8059025,30.284597,4.1843967,0.0
NULL,145.76817,13224.936,7.9064445,304.00198,298.99066,12.729525,49.53685,4.004871,0.0
NULL,266.42102,26362.965,7.7000637,395.3895,364.4801,10.34895,53.00838,3.9915643,0.0
NULL,148.15306,15193.413,9.046833,307.01178,563.80475,16.568655,52.676186,6.038185,0.0
7.1814485,209.6256,15196.23,5.9946785,338.33643,342.1113,7.9225984,71.53796,5.08886,0.0
9.82549,190.75662,19677.893,6.7575407,NULL,452.83624,16.899038,47.08197,2.8574724,0.0
10.433291,117.79123,22326.893,8.161505,307.70752,412.98685,12.890709,65.733475,5.0573106,0.0
7.4141483,235.04454,32555.852,6.845952,387.17532,411.98337,10.244815,44.489296,3.1606245,0.0
NULL,232.28046,14787.206,5.474915,NULL,383.98172,12.166937,86.08073,5.0291667,0.0
5.115817,191.95274,19620.545,6.060713,323.8364,441.74838,10.966486,49.23823,3.9020889,0.0
3.6416297,183.90872,24752.072,5.5383143,286.05957,456.8601,9.034067,73.59466,3.464353,0.0
5.6180644,304.2359,17281.975,6.1010833,NULL,399.47156,12.265001,81.58899,2.8965468,0.0
NULL,143.45374,19942.273,5.8907547,NULL,427.13068,22.469893,53.124096,2.907564,0.0
9.267187,198.6144,24683.723,6.1106124,328.07755,396.87695,16.47197,30.383314,4.3240047,0.0
NULL,233.859,11703.924,4.599388,309.0393,349.39963,18.338892,42.677464,3.510004,0.0
5.3319407,194.87407,16658.877,7.9938297,316.67517,335.1204,10.180513,59.572712,4.43482,0.0
7.1457715,238.68993,28780.34,6.8140287,385.97565,332.0327,11.0931635,66.13805,5.1825905,0.0
9.9206915,202.81749,9973.934,6.8822484,337.35052,333.19247,23.9176,71.833626,4.690707,0.0
4.7584395,183.34946,21568.43,4.731349,NULL,403.94418,18.66823,66.9124,4.5428014,0.0
5.702926,216.85048,35606.44,7.184351,NULL,504.63828,16.14079,77.53619,4.137739,0.0
6.953864,209.63829,10575.187,4.462707,315.6066,391.18433,13.285334,87.39089,3.1957104,0.0
10.682966,173.3755,15758.74,5.5707836,307.3526,323.80792,10.09087,78.472786,3.9997754,0.0
NULL,129.89058,34415.85,6.321929,304.53522,470.32916,18.59941,72.40363,4.405586,0.0
8.757257,200.1914,21536.225,4.915101,317.8829,404.7178,13.768323,47.93087,3.6261353,0.0
NULL,168.38843,27492.307,7.0462246,299.82047,383.795,16.182066,75.72943,3.0480573,0.0
7.809632,100.45762,12013.551,5.2123146,247.20082,605.22015,9.611349,66.084175,2.4474444,0.0
6.652488,145.01018,19871.79,4.9610662,288.0522,545.975,10.942024,71.72742,3.7420905,0.0
9.147197,211.71414,11920.61,7.230795,339.75192,527.7089,18.275312,47.634884,3.7945316,0.0
10.560744,181.89337,21783.65,6.99126,340.39038,456.5564,16.482836,34.25205,3.9646864,0.0
7.484255,260.09216,30616.615,9.379133,NULL,404.67078,15.934484,66.621025,4.781188,0.0
8.520806,238.33511,28779.65,8.282808,381.64932,481.31882,6.0163364,39.09117,3.9406044,0.0
4.999414,190.28705,24323.865,7.230164,324.89304,405.33047,8.236558,99.42738,4.460684,0.0
NULL,157.8012,16963.625,8.335619,300.04422,360.996,12.823861,71.717,4.4053855,0.0
NULL,155.05573,20557.24,8.187319,NULL,290.18097,16.622255,59.62206,4.0899076,0.0
3.9060783,233.40283,32144.8,6.9948397,348.35944,269.44907,9.654125,63.743065,3.9028797,0.0
6.3913536,213.01782,20965.479,5.37556,327.65054,369.33813,13.758105,17.915722,3.9237492,0.0
NULL,229.48569,35729.69,8.810843,384.9438,296.39755,16.927092,NULL,3.8556023,0.0
8.692092,195.14374,24656.24,8.2319,NULL,398.34543,12.380771,48.440723,4.47796,0.0
8.08576,127.73968,32653.91,6.5342374,NULL,416.23962,11.119659,78.27505,4.068689,0.0
6.2039776,212.30663,21815.074,7.873992,NULL,362.108,14.933013,63.87382,5.215689,0.0
5.058109,238.56938,34873.934,8.983276,374.4335,669.7251,13.353182,76.5218,5.1066556,0.0
NULL,103.46476,27420.168,8.417305,NULL,485.9745,11.351132,67.869965,4.6207933,0.0
NULL,211.20053,12830.484,4.502117,326.96152,333.32983,16.045149,49.898407,3.43974,0.0
7.2615504,179.88979,24964.777,5.8370867,349.26926,501.18277,17.287714,50.993008,3.6363642,0.0
7.160467,183.08931,6743.346,3.8030365,277.5991,428.03635,9.799624,90.03537,3.884891,0.0
5.704765,116.29933,33223.582,7.0505033,297.07816,504.3787,9.001821,48.14703,4.1575336,0.0
6.217273,130.94446,19460.383,7.092463,300.1313,556.6537,14.083609,57.897076,5.3258333,0.0
8.6799345,242.22867,22984.05,7.5187645,NULL,352.9426,18.704409,69.907906,3.8734703,0.0
NULL,219.30092,14859.467,5.5983267,344.44238,425.21356,15.771834,49.352,4.6559167,0.0
6.897322,211.36017,25650.777,6.76601,NULL,383.0143,13.934788,90.52333,5.0227838,0.0
3.5145454,158.73207,23029.664,6.821679,286.52286,307.37915,9.712232,79.85093,3.7626154,0.0
3.7225006,163.63974,37962.168,6.6845703,326.69403,467.56296,14.567269,50.57798,3.6628377,0.0
6.4550047,176.68398,24468.049,5.75693,314.7996,477.58136,16.245504,57.729725,2.2934315,0.0
7.316805,217.52286,31903.4,9.865047,376.93796,425.9134,8.992754,69.50922,3.5083725,0.0
1.8445383,233.76434,28689.596,7.7244325,NULL,410.38727,15.611859,54.299442,5.0134635,0.0
5.5191255,168.72858,12531.602,7.730723,NULL,443.57037,18.099077,NULL,3.7589958,0.0
7.4089856,204.96175,9566.122,6.5059233,311.45267,504.146,11.532144,81.10694,3.772421,0.0
5.9767694,258.95273,27267.982,7.648599,383.65717,514.1189,12.25679,82.469795,2.994671,0.0
6.395359,133.83423,23827.275,5.127747,266.90842,573.40027,9.833875,95.02661,4.1912174,0.0
6.2096424,195.41772,13116.708,7.879348,NULL,417.24167,7.5076623,70.547386,3.6125195,0.0
6.7628326,232.07518,27159.385,7.8849907,350.44528,465.4138,13.863965,64.812256,4.9165792,0.0
9.918717,199.18124,21470.277,6.7998414,329.17844,430.50772,15.9660425,59.292274,3.3855085,0.0
10.15544,300.29248,12652.363,6.6551266,398.6478,487.45914,9.347634,67.91979,5.002467,0.0
8.721726,206.36969,28608.053,6.3254423,377.40454,506.93835,13.553751,42.381485,2.555027,0.0
NULL,197.97978,17153.307,7.659204,329.2803,575.1147,11.870981,69.10983,4.3839216,0.0
NULL,199.10788,29721.912,6.8696904,357.30322,420.7096,9.226619,55.294285,3.3551645,0.0
6.0996466,237.91992,20416.842,8.45783,NULL,291.10483,19.270054,93.13801,3.1727898,0.0
9.026788,253.21707,27965.072,6.588374,373.55322,588.31964,16.145733,59.12445,2.019042,0.0
6.9533715,203.14655,11609.109,5.4957376,304.2832,551.1433,9.387781,55.958004,3.6518657,0.0
6.1408777,197.87608,26687.875,7.5871964,329.23184,548.07275,15.83633,41.26365,5.3594604,0.0
7.077874,220.67053,23873.379,6.1818395,341.98724,333.05078,10.6617985,90.29777,4.7645082,0.0
5.488314,135.80237,21485.152,8.187416,280.60327,441.33115,14.860263,88.287346,5.0667863,0.0
7.2055593,120.327614,24627.867,6.2024693,289.7687,418.4333,13.643147,63.733734,3.7100532,0.0
9.17787,163.27483,20868.332,7.7260404,320.42142,426.9944,10.214274,62.430927,3.10877,0.0
4.270716,166.8377,24405.25,7.39151,297.20673,349.51892,13.478526,54.47484,3.763906,0.0
7.3488445,223.26494,11519.047,8.889559,NULL,494.15845,18.145374,73.71552,4.880875,0.0
8.52617,175.61284,11837.123,7.483709,308.39853,474.24048,21.845917,52.3722,5.083014,0.0
NULL,169.04192,36152.82,8.330389,329.0397,590.7488,17.695114,103.15046,3.9959738,0.0
2.612036,188.80412,34798.254,6.796439,NULL,468.08026,13.170763,49.52377,4.7652054,0.0
8.490572,204.12364,22989.797,8.270793,358.8471,435.0009,17.084246,62.42164,3.8755567,0.0
NULL,213.54193,22539.71,6.9572043,334.0412,463.39883,11.623019,69.61585,3.3985925,0.0
8.858401,254.61752,9624.301,7.9540157,348.4082,344.30338,7.9354677,78.10855,5.5257263,0.0
6.0981565,189.99585,27776.9,6.443098,347.9304,245.85963,14.636882,73.42463,3.9773624,0.0
8.4199705,185.719,13237.989,3.9982657,308.14264,463.64728,17.209564,48.78311,3.9624784,0.0
9.286155,222.66154,12311.269,7.289866,332.23935,353.7401,14.171762,NULL,5.2399817,0.0
7.875895,226.28479,12710.249,7.303127,346.40326,445.37415,6.063462,63.128044,4.2385893,0.0
7.7253327,252.26549,36477.74,8.386761,426.54358,339.41132,17.485844,60.483883,3.7248366,0.0
3.3880906,212.02895,20230.125,8.569781,349.156,353.91293,18.20834,82.38787,2.798601,0.0
6.7453065,218.42464,21871.838,7.165509,NULL,373.0501,16.82662,74.08608,3.9023526,0.0
NULL,190.4239,28062.643,9.615147,357.2267,263.7719,13.445225,67.05556,5.6290154,0.0
7.1838255,261.8508,14100.969,9.008495,358.7247,290.42383,17.149908,82.025116,4.5971656,0.0
10.111977,240.4321,15331.303,5.392651,361.90292,403.0418,16.131124,61.111145,3.4257631,0.0
7.3974133,122.54104,8855.114,6.888689,241.60753,489.8516,13.365906,NULL,3.1491575,0.0
7.812804,196.5839,42550.844,7.3346477,NULL,442.54578,14.666917,NULL,6.2048464,0.0
6.877457,136.87921,27433.588,7.0915217,307.3971,342.19635,18.403847,81.19341,3.82765,0.0
NULL,146.97025,16367.458,7.687037,NULL,468.945,18.601381,49.56197,4.6643505,0.0
NULL,230.80948,27418.781,7.1364985,369.31,274.66058,9.578585,72.37691,4.197595,0.0
7.521052,267.05966,26865.373,10.4494505,NULL,505.70938,16.237745,57.03778,2.8807855,0.0
8.550876,231.24878,28918.42,7.8225284,369.26422,432.28528,16.266296,73.14947,3.7728865,0.0
10.308477,217.21974,27653.234,8.912267,369.53122,382.9515,6.5804014,59.57604,3.285077,0.0
NULL,252.67047,29368.674,9.906147,433.9522,465.2166,13.221034,84.19861,5.0527368,0.0
7.371085,207.71683,24913.838,9.61633,362.30017,363.16855,11.542662,67.7207,4.4125896,0.0
11.180695,228.30086,16600.393,6.0940003,NULL,504.05054,15.035047,110.739296,3.8098416,0.0
6.506488,202.28593,17087.076,6.201983,326.66235,481.77194,16.535187,46.20575,3.5487757,0.0
6.6439357,151.8896,10909.194,3.7496252,240.93672,437.909,15.264742,64.203964,3.812953,0.0
5.033774,155.32147,34971.81,7.1214776,320.1155,500.63733,18.312498,63.193306,3.2449484,0.0
6.9126077,155.7405,17973.18,4.9163027,275.90823,439.64804,18.380713,55.50747,2.612249,0.0
7.977636,245.89513,32170.068,9.635636,399.58316,473.66245,11.728338,23.81702,3.5521295,0.0
6.078336,197.5019,35957.793,8.130472,379.5277,360.0605,20.098413,41.86596,4.201581,0.0
6.2424145,191.90872,28149.412,7.130437,319.3068,448.24252,19.37009,60.93948,4.508705,0.0
6.063355,160.76732,14775.1455,7.4841037,305.82855,327.27023,12.309016,69.03845,3.467337,0.0
8.129585,177.89897,27834.217,9.006008,334.43854,397.02142,15.936262,81.390755,3.3625371,0.0
9.562406,202.01364,13041.829,5.8206553,327.11884,433.38165,14.139066,63.548992,3.7627199,0.0
8.167792,200.91376,27141.363,7.262417,344.16113,525.5988,16.142284,66.23144,4.2893953,0.0
8.594416,270.0227,15791.676,5.9126906,NULL,672.557,20.184052,54.961285,3.5689917,0.0
NULL,167.38612,20944.621,4.9631243,NULL,566.3393,11.318807,NULL,3.679795,0.0
6.825468,187.05171,46140.125,6.1377573,352.70218,373.42725,12.606381,58.7522,3.0274496,0.0
7.861178,204.27425,25145.023,7.9233155,338.2138,469.48697,15.99341,86.1673,4.1576567,0.0
4.9657736,220.84863,21802.744,6.250578,311.59814,386.41333,18.035238,53.908176,3.4217668,0.0
6.2074327,192.93703,13442.604,5.819023,325.90656,533.79584,14.687539,60.485035,3.5492988,0.0
NULL,157.00128,20067.105,8.071051,NULL,490.9097,17.322947,71.96926,4.4175596,0.0
9.769251,264.26566,8471.678,8.3497095,359.26855,353.19647,15.047087,52.64546,4.636556,0.0
9.630666,152.86243,23641.703,6.925706,333.14832,417.16708,16.670183,89.997574,4.920091,0.0
5.1874714,104.752426,20060.078,6.913911,NULL,368.81543,15.140348,98.65665,3.2032578,0.0
7.63357,199.653,16312.155,9.900547,358.56628,420.53418,10.539392,100.24271,2.9270668,0.0
5.771199,155.05089,24909.443,6.5312614,297.0093,313.70193,11.704789,85.6883,4.688959,0.0
6.5799694,197.22697,17657.084,4.5062933,290.2899,254.39328,9.847655,73.74972,4.575932,0.0
4.801154,180.77287,13556.734,8.977286,322.06244,587.395,12.401368,62.028187,4.418638,0.0
7.948816,238.2364,19129.459,5.851965,NULL,434.65546,8.663294,67.30404,3.692251,0.0
6.906992,216.7853,19991.238,7.3023515,340.10602,356.45914,9.614106,61.122643,2.1247594,0.0
NULL,281.26868,22452.09,6.773699,343.63583,395.34177,14.903081,67.12517,4.4443502,0.0
NULL,190.77946,12224.311,4.646211,308.56488,399.27136,11.876797,61.886635,3.4631724,0.0
8.46133,212.58136,34406.777,8.679152,384.85538,477.34338,13.801712,NULL,3.771944,0.0
7.726135,233.94786,21667.87,6.313182,340.27316,472.259,14.39986,36.578037,3.7206368,0.0
NULL,247.66158,19549.5,8.7696705,NULL,438.86578,16.624653,64.949005,3.7777374,0.0
8.927078,241.8751,22821.254,8.549738,367.97556,380.1972,10.859287,75.85707,4.601861,0.0
6.2080154,153.2211,17358.797,8.214939,328.28204,481.19568,14.274093,62.7182,4.3346157,0.0
6.1284256,141.49242,9615.833,7.627919,277.9517,415.00873,16.435843,50.693928,4.633824,0.0
NULL,202.25484,11981.74,9.189106,339.98395,416.5889,14.079228,62.76553,2.6789107,0.0
7.3080487,274.70496,14600.539,8.105803,384.56485,415.60727,16.761625,68.937225,3.6961198,0.0
NULL,170.09924,39906.19,6.554996,NULL,515.3867,13.516078,40.51417,4.3532386,0.0
8.640886,201.56873,26473.713,6.9670944,352.30658,309.98328,17.665083,68.664925,5.2631016,0.0
NULL,205.50946,20406.928,6.810069,355.26593,482.33005,12.337776,70.580605,4.1025295,0.0
8.15321,127.14489,10280.93,5.8283577,267.63687,487.90833,11.943477,90.619354,2.9057882,0.0
8.29372,206.16042,35216.387,6.441,347.06226,399.4836,16.065668,79.95451,3.9547153,0.0
NULL,233.85034,21136.287,6.6898775,NULL,332.73758,9.745282,77.529945,3.3108585,0.0
NULL,237.67738,26009.076,7.0745316,372.6003,344.7679,14.442238,72.69624,3.7066019,0.0
9.489973,234.06996,15513.74,4.735332,NULL,277.97006,16.698215,81.42718,4.2199674,0.0
7.8309765,190.79904,7695.064,4.8452053,292.51584,507.4455,15.526658,85.00951,4.5887847,0.0
4.430281,139.68576,28862.258,8.961372,298.37946,434.78128,17.299294,63.0425,4.3845654,0.0
7.24074,201.1868,23783.1,7.7512856,340.98367,579.2204,13.486379,62.650234,3.5562975,0.0
NULL,260.20535,19517.725,8.764169,368.82104,251.0209,12.804588,48.65189,3.6655219,0.0
6.8673015,174.18498,24112.154,5.529942,297.65558,484.12292,11.482687,65.30441,3.823595,0.0
6.1296372,200.27818,30989.95,8.830102,348.86816,341.38858,9.3001175,79.55361,4.615886,0.0
7.9170494,278.05634,27192.281,9.220128,424.788,358.78174,15.054313,56.839603,3.6594846,0.0
6.511618,181.87343,29136.814,7.6857753,345.75165,475.34134,12.321232,52.43762,4.850434,0.0
5.323816,232.36858,37625.754,8.879823,380.57648,580.8977,12.293803,55.31002,2.8807218,0.0
6.7695727,168.93707,11067.181,7.1212635,305.79495,289.54245,18.545902,62.00157,5.22054,0.0
5.877974,141.61528,13652.293,5.701659,279.7824,538.4954,12.034042,67.90726,4.0322595,0.0
9.534021,201.95522,9472.615,6.1057086,319.57642,259.6368,15.625617,NULL,2.768239,0.0
6.340028,225.02815,45222.508,5.8090315,363.00577,435.50046,11.385938,80.67031,3.6860013,0.0
8.6615925,284.09836,27088.477,7.8978567,NULL,512.2773,16.912142,72.46576,3.670431,0.0
5.6535063,146.59023,16462.46,6.501596,299.64462,272.44055,13.795264,87.822586,5.1989856,0.0
6.6260123,112.299484,25839.895,7.6587467,312.24704,327.24808,19.409147,85.7851,4.194313,0.0
7.7938337,176.86649,18344.68,7.567677,338.22958,371.21698,9.039042,76.28808,4.1729355,0.0
7.5931277,261.56616,18371.057,6.2975426,NULL,387.62958,16.575981,51.830948,3.3773377,0.0
7.3627367,185.69218,16268.448,5.3170195,316.91864,419.25845,16.024246,64.67892,4.408513,0.0
9.320306,129.82385,16002.139,4.4050345,271.67056,499.84418,13.0768585,82.837585,4.2058096,0.0
3.7197917,248.85927,23590.932,7.683742,351.55548,427.49594,20.393782,38.60494,2.7183976,0.0
6.655605,216.44118,20571.846,8.984237,NULL,336.83145,17.745996,71.70431,2.9516447,0.0
9.868877,214.16623,15326.855,3.3515978,297.08417,424.29282,19.188442,70.07051,3.3554897,0.0
5.5906143,229.19214,35370.734,7.9896407,NULL,469.4131,13.281556,76.992714,4.726845,0.0
5.5544367,229.12283,31344.46,7.761431,NULL,306.87253,13.9748,87.27338,2.0959141,0.0
4.1265287,125.474884,11215.946,5.366011,261.4448,445.24146,18.57592,86.433655,4.460201,0.0
5.9700356,230.44933,16324.115,5.2939186,315.18613,327.78665,13.325987,39.55425,5.428674,0.0
NULL,229.77135,16162.263,4.9336624,NULL,448.84604,8.816487,NULL,4.6009274,0.0
8.369154,183.50038,12975.9,6.600853,315.90112,493.46545,12.987106,87.02941,3.6297493,0.0
6.2842484,190.01765,12206.682,7.9107113,NULL,395.26108,13.24614,58.927727,3.3771322,0.0
11.267828,161.89636,6040.3696,7.2054143,NULL,316.53586,11.76831,25.525267,4.153347,0.0
9.298018,163.03883,13990.514,4.2497015,NULL,399.47736,15.365884,83.923164,3.6813242,0.0
7.895469,154.26578,7769.616,7.205262,258.31287,407.7322,16.42004,63.016018,4.2369475,0.0
7.947486,269.80942,34440.773,6.9582834,390.10422,425.6278,13.749261,56.63581,3.7008538,0.0
10.026159,224.26636,14962.178,7.4283133,336.97296,517.5128,18.858519,65.36345,4.1822777,0.0
6.488193,225.4819,34864.43,8.951693,385.50565,324.50983,12.696545,97.11286,4.5920734,0.0
5.8697367,207.72545,22244.219,6.5977645,352.564,465.6165,14.8381,77.82274,4.689315,0.0
NULL,220.8137,21410.32,6.3248796,335.84586,382.19785,9.500296,86.990135,3.6599748,0.0
5.3041425,160.96835,25299.512,6.286043,300.5007,497.7904,15.01303,61.115513,4.165724,0.0
7.5336146,186.91824,11642.728,5.890684,NULL,363.50635,10.740146,49.574306,3.462764,0.0
4.0776076,207.83804,18194.955,7.923974,NULL,288.3652,13.306692,35.82456,2.7586586,0.0
NULL,105.85926,37928.14,5.6094403,NULL,358.88876,12.2071085,71.11989,3.8738534,0.0
7.0861683,189.14537,4304.4927,3.6158905,259.37332,400.90436,12.993012,63.902287,3.4165397,0.0
6.2710123,213.44469,24846.143,8.372997,NULL,543.3917,17.916527,84.578865,5.303581,0.0
7.9577684,276.73358,17162.398,7.841542,397.43198,514.4217,14.529779,60.5597,3.4507458,0.0
8.875642,228.92159,28487.709,5.318732,351.96072,474.77252,14.68397,52.57886,4.0069914,0.0
NULL,192.44717,18257.568,7.472249,313.77655,462.40244,13.932145,53.185917,4.3582983,0.0
6.613709,141.12892,25648.57,7.2229714,295.23688,374.77032,14.038263,74.29925,3.539771,0.0
7.735705,137.31816,16723.977,7.675826,282.5399,595.3293,18.75614,63.042778,2.1486115,0.0
9.925041,238.7134,10704.604,6.110019,351.5974,405.90018,13.550366,59.46267,4.7038035,0.0
9.0025835,202.99077,19523.125,7.2447534,330.3615,366.49173,15.6894045,55.6974,4.9048376,0.0
5.0957665,273.40845,26307.299,10.219804,380.2015,513.87756,18.272419,61.425186,4.3521934,0.0
8.594677,263.7646,23220.121,6.394463,383.9626,588.8527,13.579996,86.191635,4.7540727,0.0
7.083779,112.82025,8580.245,4.210284,234.85269,434.7477,23.399515,94.16031,3.8876808,0.0
7.6828723,180.70137,12105.722,5.396716,296.2389,469.83563,15.831763,61.802094,3.778607,0.0
NULL,133.81311,18272.506,5.9118705,NULL,415.21173,11.504506,92.97576,3.313199,0.0
6.4197726,208.76025,30759.682,7.7678633,NULL,523.60016,20.232523,NULL,3.0952332,0.0
4.4432387,178.9562,25008.533,4.9488144,298.5767,429.54477,17.729725,56.347687,3.2683249,0.0
6.9786644,183.2428,23114.445,6.5008254,323.15576,470.0787,16.082848,65.99572,4.7669435,0.0
6.6236134,203.03014,17167.3,6.049601,311.7263,410.24326,15.9145,65.02123,2.915166,0.0
3.6647105,201.09732,28102.756,5.6820354,330.02353,291.14844,17.47063,75.1018,3.3161576,0.0
4.8141356,205.21404,17650.404,8.12108,350.48795,414.0307,10.999416,47.402664,5.1908517,0.0
5.7796736,199.58607,24160.354,9.458128,NULL,428.55325,16.022503,64.8727,4.6563773,0.0
6.937819,177.57814,12626.198,7.380883,NULL,439.625,9.348252,83.16324,3.7240896,0.0
7.436783,208.09401,28544.617,6.5000525,339.0239,522.7937,17.115276,65.31128,3.7276638,0.0
4.7233124,252.2749,22833.191,5.9224505,378.5603,411.295,16.584572,66.7284,3.9175868,0.0
9.380658,265.06122,15156.79,4.2715445,333.33447,503.17062,11.28641,99.01601,4.034349,0.0
7.810145,187.31505,20418.89,7.2148957,325.22888,351.18607,16.8004,68.48548,4.033774,0.0
9.436637,143.7884,20724.93,7.7001004,NULL,469.76132,14.215765,66.07798,4.4111176,0.0
9.406325,216.76216,27948.59,6.156111,355.47302,347.9831,16.340715,32.10829,3.0972779,0.0
6.3212595,207.2577,8532.14,5.9878764,286.4893,491.76532,10.546886,74.50281,4.501457,0.0
NULL,217.36975,17984.328,8.594163,NULL,409.22076,10.213779,18.400013,3.6051543,0.0
4.7053566,103.173584,19555.766,6.767298,NULL,370.17816,9.182834,93.90048,3.4374502,0.0
8.896419,222.25629,8870.903,6.0113425,332.00262,425.22687,10.847737,NULL,3.7009456,0.0
6.581878,272.98276,37169.445,8.114731,416.08347,351.47684,15.129334,79.261024,4.201663,0.0
6.755146,231.26013,18536.7,8.7571335,342.548,385.11465,13.888834,79.30244,5.1627297,0.0
9.445129,145.8054,13168.529,9.444471,310.58337,592.659,8.606397,77.57746,3.8751652,1.0
9.024845,128.0967,19859.676,8.016422,300.1504,451.1435,14.770863,73.77802,3.9852505,1.0
NULL,169.97485,23403.637,8.51973,NULL,475.57355,12.924107,50.86191,2.747313,1.0
6.800119,242.00809,39143.402,9.501695,187.17072,376.4566,11.4324665,73.777275,3.85494,1.0
7.174135,203.40894,20401.102,7.681806,287.0857,315.5499,14.53351,74.40562,3.9398956,1.0
7.6579914,236.96089,14245.789,6.289065,373.16537,416.62418,10.464238,85.85277,2.4372964,1.0
8.322987,207.25246,28049.646,8.827062,297.81308,358.72586,18.709274,60.91142,4.052136,1.0
5.934279,223.85812,23249.654,4.60285,NULL,277.38455,11.366863,66.62395,5.217895,1.0
9.802721,98.771645,27357.457,9.21815,323.19907,512.4287,14.168934,59.45444,2.764634,1.0
6.1019554,215.2681,15976.926,8.85716,308.4827,417.84357,13.14728,62.505642,3.5355964,1.0
4.997771,280.0824,26849.195,6.1307564,374.23297,297.61154,15.571571,70.56027,3.4046328,1.0
4.815767,217.68709,16392.135,7.4611707,278.7423,481.48083,15.517296,77.693375,4.3752236,1.0
6.5480204,278.5851,25508.387,6.7493777,366.8715,497.32175,16.563166,79.32368,3.6118603,1.0
13.175402,47.432,19237.95,8.90702,375.1473,500.24594,12.083896,NULL,4.1069245,1.0
6.618011,233.66164,19598.861,4.7010493,432.5564,401.6698,11.766147,73.19192,4.437696,1.0
7.788055,212.69145,29879.06,6.9989614,360.66827,359.5691,14.828743,83.85634,3.3687572,1.0
5.1918344,211.09418,14866.104,7.2386913,323.10928,388.71658,17.78,83.50541,3.859801,1.0
5.6263394,230.85799,14442.419,5.2103686,NULL,346.5532,11.368703,43.195183,1.9433187,1.0
6.869639,251.29344,21728.822,8.803175,279.77686,539.46686,12.99414,56.409706,4.7267027,1.0
9.058628,155.35756,15737.469,7.251979,343.23398,463.38925,17.85447,83.175186,3.6521344,1.0
7.291888,127.5443,27784.049,9.754476,247.33542,439.64932,17.285042,59.556328,5.328713,1.0
7.275909,175.22038,22644.766,7.8868546,293.30984,373.3457,17.411682,56.799286,5.062298,1.0
6.5127373,229.26385,22475.047,12.580027,192.03358,479.50128,9.983462,66.66858,4.6129637,1.0
7.2078867,175.8703,35804.293,8.066059,320.10217,468.56284,16.164091,71.14666,3.762741,1.0
NULL,156.52063,16146.157,6.629599,352.35342,629.28125,13.5076885,42.34017,3.7729192,1.0
5.3249416,280.08966,35344.656,13.043806,180.20674,392.4215,10.50482,55.084667,4.427138,1.0
7.0823007,169.46893,29846.719,5.443387,350.40186,353.0304,18.959534,30.389095,3.4855773,1.0
